Source,Target
TFAP2A,DSG2
TFAP2A,ELN
TFAP2A,FGFR3
TFAP2A,GGT1
TFAP2A,HCK
TFAP2A,HEXB
TFAP2A,IF
TFAP2A,MUC4
TFAP2A,NOS1
CEBPA,TP53
CEBPA,UHRF1
UHRF1,VEGFA
STAT1,HSPB1
STAT1,IL8
STAT1,CD22
STAT1,FGFR3
STAT1,GBP1
STAT1,IFI6
STAT1,IRF1
STAT1,MUC1
STAT1,MUC4
STAT1,STAT1
STAT1,STAT2
STAT1,BCL6
STAT1,CEBPD
STAT1,CIITA
STAT1,EGR1
STAT1,EIF2AK2
EIF2AK2,STAT1
STAT1,FOS
FOS,HBB
FOS,HBEGF
FOS,ELN
FOS,NOS1
FOS,SOX7
STAT1,FOXP3
FOXP3,SATB1
STAT1,GATA3
STAT1,IFNA1
STAT1,IFNG
STAT1,IL1B
STAT1,IL27
IL27,STAT1
IL27,STAT2
STAT1,IL6
IRF1,VCAM1
STAT1,JUN
STAT1,MYC
STAT1,NR1H4
STAT1,PML
PML,HCK
STAT1,PPARG
STAT2,IL8
STAT2,IRF1
STAT1,STAT3
STAT3,HSPB1
STAT3,NR0B1
STAT3,SHH
STAT3,SMAD1
STAT3,VEGFA
STAT3,CCL20
STAT3,CEBPB
STAT3,IRF1
STAT3,MUC1
STAT3,MUC4
STAT3,UCP2
STAT1,STAT5B
STAT5B,PITX1
STAT5B,MUC1
STAT1,TP53
CEBPB,HBB
CEBPB,IGF2
CEBPB,IL8
CEBPB,CEBPA
CEBPB,ELN
CEBPB,DDIT3
CEBPB,EBF1
EBF1,CEBPA
CEBPB,HSF1
HSF1,LDHA
CEBPB,ID2
CEBPB,IL13
CEBPB,IL1B
CEBPB,IL4
CEBPB,IL5
CEBPB,IL6
CEBPB,NFKB1
CEBPB,PPARG
CEBPB,SMAD3
SMAD3,BAMBI
SMAD3,EPO
SMAD3,FOXA2
SMAD3,GLI2
SMAD3,HEY1
SMAD3,LEF1
SMAD3,VEGFA
CEBPB,SMAD4
SMAD4,BAMBI
SMAD4,EPO
SMAD4,IHH
CEBPB,XBP1
XBP1,VEGFA
XBP1,ERN1
IRF1,CIITA
IRF1,E2F1
IRF1,EIF2AK2
IRF1,FOXP3
IRF1,IFNA1
IRF1,IFNG
IRF1,IL27
IRF1,MYB
IRF1,TP53
KLF4,ATF3
ATF3,ID1
KLF4,IL1B
KLF4,IL6
KLF4,NANOG
KLF4,RARA
RARA,IL8
RARA,MYCN
RARA,STRA6
RARA,MUC1
RARA,MUC4
KLF4,TP53
KLF4,VDR
STAT2,IFNA1
STAT2,JUND
JUND,SOX4
JUND,MUC5B
STAT2,PML
FOXQ1,RSPO2
FOXQ1,VEGFA
SOX7,FGF3
RAC1,NFKB1
PIR,NFKB1
NCF1,RELA
