geneName	LogFC	pvalue
MYO15	-1.1501332759031038	8.437912482690508e-7
NRSN1	1.5839929016887135	3.530031327046863e-9
NOTUM	1.1305288839505423	8.326374876733453e-17
EXT1	1.0420769006211978	1.4884935436408191e-5
EFCC1	1.2214735262218612	1.008336122553777e-25
M4K3	-0.7882799423941741	9.664505509866375e-28
SIM29	-1.8145054985391509	1.4008306509145823e-16
LEF1	1.7175438723710807	2.182773815337767e-49
MX3	-1.0421377953944515	1.2017219105865814e-21
GRB7	-1.3048248050056945	5.3508467148153605e-5
VWC2L	1.5266990652421486	3.4174582224392763e-12
IRF1	-0.8818323747135236	8.811065063888643e-49
AHNK	-0.8319709945485388	6.737349914748641e-10
AHNK	-0.881801068348764	6.0195157556581575e-9
TRPM5	-1.1875005624770878	2.3368435921871812e-54
AKA12	0.9552107646087961	1.9298381798928945e-4
PERE	-1.2537516122527037	2.3779554465387762e-40
YM012	-2.440926864043591	1.3935548384001317e-12
OCLN	-0.8873428353113324	6.236394391581051e-34
CLIC6	1.6921563907155008	1.0381254118377994e-15
EVA1C	1.9104034041972489	2.065768441623103e-30
ADAM9	-1.380923466303079	3.073494854569361e-48
STAP1	-1.3473277691936176	1.0000094698341947e-12
ITPK1	-1.0405103420020163	5.036393961477906e-10
ID1	0.9531525411763483	1.2186928962256166e-97
ZN214	-0.7629624681777945	9.432970402965674e-6
MCF2L	-1.1896003305855227	9.714334915313083e-9
ICA1L	-0.8939620194622714	2.9280265418091492e-9
ERBB4	-0.8261028981050268	7.048822566052197e-7
MEX3B	0.7962162369822893	9.741058600537751e-17
FUCL5	-1.1480186077382668	1.637452848927063e-17
CCG1	3.171696293974507	4.548920185424337e-5
MALD3	-2.326333468543202	2.3133792037459552e-4
FGL1L	-1.0886011995792155	5.3257199039347206e-24
MYCN	1.646829279501305	1.9102719711930675e-15
HOME2	1.2021281397831354	3.5801464677308416e-6
NLS1	-0.7841076856142569	3.1267049161872195e-8
NLRP3	-0.8532364220535146	2.2349309843791877e-4
AGRF5	-1.2827329585096707	6.649706352910159e-11
ABCAD	-1.0067133376877482	5.181076222831027e-37
HSPB7	1.504479693241201	7.669760411835426e-5
FA83E	-1.4273341000556141	1.2790731071006685e-20
EFC10	1.8904592912729168	3.5383750545292133e-7
KCT2	-0.842344350492119	1.2966217478429185e-11
SYNE2	-0.9277930928235125	3.4137712128901233e-9
NLRX1	-1.0821039572692235	4.4890710189587576e-11
NANO3	1.1464151601040227	2.713212429321363e-7
RNF38	-0.7731926854030313	6.71495506851919e-15
MUC17	-1.120499060041728	1.2375669831232233e-15
S4A4	1.5396358074127117	3.5526823319776634e-19
EFC4A	-0.9563657910354302	1.0941727039723044e-27
EMX2	-1.0985243700111817	6.81090608263271e-16
EMX1	-0.8748215730519294	6.3356835364889026e-18
PP14A	0.863581919674092	5.6446126904728e-12
LBX1	2.465791695323286	1.4673952552562234e-6
F16P2	4.979425984035299	3.2560236182082415e-4
SIAT1	1.3574934136085195	6.738530148236858e-9
LIPE	0.8464443506337819	1.7654706947434407e-8
TCF15	1.215397722942124	2.705275182429521e-4
FUCO	-0.8239630584501362	3.13618055904762e-13
DYN3	1.1024241860924973	4.0635914237591934e-8
G3P	0.7503585915434955	5.84331864307437e-8
CNFN	-1.011109863275257	5.043947053862095e-57
PTC1	1.6364932036990896	1.5309066016206159e-24
TSCOT	-1.8006716986109523	1.7912699353848048e-4
FA83C	-1.7757358492503188	6.9950570713250616e-6
PTC1	2.238981196514098	1.1374162756066535e-43
TBB	0.9552423696109416	3.405741592646179e-24
SIX2	1.5157289644121557	1.6484970080584067e-32
SORL	-1.0084006379094366	1.0499330500456287e-12
GCNT3	-0.880183665348214	6.410747458194506e-48
ATS9	1.5676640962373236	2.4507680082801645e-24
UD2A1	2.502732134878734	7.069008834622588e-11
CY561	-0.9176012349331728	1.0938625403919512e-24
GNMT	-0.8043326968669564	3.904779608578164e-104
VGFR1	1.3290105664974605	6.468139853921831e-7
CBARP	1.0450797347305756	5.833265565680088e-6
SYTL5	-1.3466573416930174	1.4723216579578264e-17
PITX2	1.1452267854030038	1.9764506787941195e-98
PITX3	2.9047400539933084	5.846005356370575e-35
ADPRH	-0.8564257553304742	6.144132113597979e-38
NPL	-1.1125740051482167	5.307436641799258e-11
GPC6A	-1.1160272924060621	8.759943157707138e-28
FOXL1	2.1226754766983635	7.232959142974897e-7
DGAT2	-1.2709046961105768	1.5508423507425286e-7
PLXB1	0.9889005186075805	1.95221841430326e-8
GARE1	-1.0417766905484087	1.210091205350621e-31
AQP1	1.3333187344481143	2.3593646832977278e-8
TS1R1	-1.3372415785046867	3.423197335516768e-47
LIN1	1.2000969347244197	7.124760319909987e-6
NEUV	4.645967188467276	2.244477661945621e-12
ES8L1	-0.8009154264072157	2.684645132457499e-48
MYCD	3.787938795345333	8.195401023471009e-12
KOZA	1.634445254836405	1.115678142083342e-12
MEG10	0.9175656742786139	2.7247359149862815e-4
RBGP1	-0.8242905564113067	1.5905770406520676e-10
RGF1B	0.9947879321035552	5.203124090479597e-30
RGS5	0.7578594269087435	6.930838156028442e-6
PDGFB	1.3518894002006219	2.8174693720686878e-5
CD276	-1.0640609545598423	4.539115587022916e-6
RGF1A	-0.8463593252266286	1.247763911254451e-39
CYTL1	1.3186252335634217	1.1120787334665924e-26
NOS1	-1.3142051922694422	2.5617372404887678e-27
ANGL7	1.3806497276406566	5.871559775280336e-4
S4A11	1.3972991666411805	9.300494715751379e-5
APJA	1.9207999190426142	9.662218299075147e-5
UN45B	3.5544837300535272	8.134293955139049e-7
BPI	1.7259547498152945	2.2260310528938475e-11
EM55	0.980651799179131	2.3910819893533866e-16
SMAD1	2.94834635183695	5.14297543534306e-15
HPS6	-0.836739269905875	1.1132091339907987e-4
PRDM8	-0.915958371806593	1.243205319171155e-9
R144B	-1.4885686339014628	2.1936143218607295e-20
PINLY	-0.8054737450034825	4.7435635408073683e-14
PZRN4	0.8615320765613795	9.312326181953107e-12
COF2	1.6541765643583939	3.1312334910771814e-10
CO4A2	1.0318613840566984	6.068616057932136e-33
CO4A1	0.9552172164986575	4.859596302815375e-43
GRDN	-0.8651195798669897	3.141165280205675e-8
IHH	1.770452139381309	4.0376622881198824e-11
PREX1	0.8117041483181687	4.2406186485483677e-4
A33	-1.4314808067961384	4.018305070149192e-53
ARHG4	-0.8853394823397697	2.603977231657962e-4
CO039	-0.8188891206952321	1.641436629543003e-47
FPS	-1.0124581590894501	2.859930510027015e-35
ZFP2	0.7596486891983045	1.0411051583143402e-4
BCAT1	-1.0461912561240954	2.441786617812571e-17
MA7D2	-1.173882980882475	2.0945901578098283e-23
PLEC	-1.4252934671270279	7.346865746979956e-4
COIA1	0.7564368283995209	7.607269425829932e-8
ABLM1	-0.8789854481216505	2.205988527151638e-4
SO2A1	1.0395358206397889	7.095152581298262e-17
LPAR5	-1.1223495056576132	3.8294303392703047e-5
GREM1	3.0032033598877956	3.375609799929134e-10
PCD10	1.0027553967110592	9.741041822719563e-67
CCKAR	-0.9407690602825036	1.256712007522931e-38
RASL2	-1.4043267223439515	6.92478444185562e-6
PGM5	1.434420173371685	1.661808195048255e-5
DYL2	0.9116619662610261	3.7264482663513177e-29
F167A	-1.2084824227404987	1.0432734898881543e-16
IF44L	-0.7660001969823306	4.2206750075130726e-8
FXYD6	2.4137502705382534	9.080659012105148e-14
RN223	-0.7602528219611983	2.01916581698518e-33
RFIP1	-1.1401767450122133	1.0765073964048724e-35
RAB34	0.9547286461577551	7.268284263300065e-31
CRDL1	1.882856869376779	5.093457819749685e-6
PGDH	-1.2912832506779401	7.004239327699955e-11
CEIP2	0.9659802834310045	1.7443116075994063e-44
LORF2	-1.2151642185014881	1.9309144238446718e-55
TMCC3	-0.869035778632011	3.460494674096503e-15
CADH5	1.220345118620755	1.2112699817588395e-6
TSP2	0.8850892977073275	5.979997687734039e-50
TSP2	0.9254096342839399	1.4297846299998756e-57
CLUS	0.9779624470274392	2.5691446878939264e-38
RBM24	2.536915312069618	3.4784878249608474e-4
CAN9	-1.209695699889323	1.2165624762710916e-74
HHATL	1.7919070335772007	8.894044165206531e-6
TCIM	1.9705971736410919	4.6341493549590114e-8
RFT2	-1.3211195851392035	6.299207113047294e-16
ANGL1	0.9280357319099636	8.926776345666555e-18
PSB9	-0.7571436078206393	3.4200177892172386e-37
RAMP1	1.5805184231549094	4.852908621012057e-9
IBP3	1.1702620289662378	2.8546995740730565e-32
AT1B4	4.868721510671636	3.242641237060387e-7
STRA6	0.8613072067133979	1.8576890997574669e-13
HSPB1	2.4776044470778484	3.522467329113745e-5
GRT1A	-0.7728064649188133	1.1166268008890636e-8
NEP	1.111157918226247	2.3527798634362673e-5
APBA2	1.0844745217373564	4.429393473730212e-4
STK40	-0.774361106523978	2.4529718290121265e-5
NCAM1	2.2738828484870774	2.4665988981649913e-15
FXC1A	0.8171802765085987	9.727921173660787e-6
