geneName,log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork,geneNameShort,filteredNetwork_nosep
HCK,-0.9911765167531678,1.2753452845750046e-28,HCK,TRUE,FALSE,downregulated,FALSE,FALSE,HCK,FALSE
HDAC2,0.24467873004112453,0.049864200643951966,HDAC2,FALSE,FALSE,RNEA_addition,FALSE,TRUE,HDAC2,FALSE
HEXB,-1.099837878980877,1.2310150143893059e-45,HEXB,TRUE,FALSE,downregulated,FALSE,FALSE,HEXB,FALSE
HEY1.1,1.0382857630490185,5.605830315705699e-34,HEY1,TRUE,FALSE,upregulated,FALSE,TRUE,HEY1,FALSE
HEY2,0.8862026288596401,1.8411300005460684e-5,HEY2,TRUE,FALSE,upregulated,FALSE,FALSE,HEY2,FALSE
HIC1,1.2187396656967566,3.873188475022915e-6,HIC1,TRUE,FALSE,upregulated,FALSE,FALSE,HIC1,FALSE
HMGA1,1.3166641918654156,1.0471001199803767e-4,HMGA1,TRUE,FALSE,upregulated,FALSE,TRUE,HMGA1,FALSE
HSF1,-0.2629517094445751,0.12940088436983282,HSF1,FALSE,FALSE,RNEA_addition,TRUE,FALSE,HSF1,FALSE
HSPB1,2.4776044470778484,3.522467329113745e-5,HSPB1,TRUE,FALSE,upregulated,FALSE,TRUE,HSPB1,FALSE
ID1,0.9531525411763483,1.2186928962256166e-97,ID1,TRUE,FALSE,upregulated,FALSE,TRUE,ID1,FALSE
ID2,-0.343779669735866,1.6621679623851392e-15,ID2,FALSE,FALSE,RNEA_addition,FALSE,TRUE,ID2,FALSE
ID4,1.218601883397357,5.371817478391319e-25,ID4,TRUE,FALSE,upregulated,FALSE,TRUE,ID4,FALSE
IF,-0.8894747081300132,2.297529219473208e-58,IF,TRUE,FALSE,downregulated,FALSE,FALSE,IF,FALSE
IFI6,-0.9886758787672849,2.6470286346768947e-17,IFI6,TRUE,FALSE,downregulated,FALSE,FALSE,IFI6,FALSE
