"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0051129",0.000208701526330945,1.81304771178189,28.9122236671001,49,530,"negative regulation of cellular component organization",0.00042904934319375
"GO:0061037",0.000214099492881444,7.18806561085973,1.30923276983095,7,24,"negative regulation of cartilage development",0.000439166220364833
"GO:0014020",0.000215866472214641,3.61685691225643,4.14590377113134,13,76,"primary neural tube formation",0.000441806713132632
"GO:0050678",0.00021756938477606,2.20817901234568,14.2379063719116,29,261,"regulation of epithelial cell proliferation",0.000444077268919602
"GO:0048013",0.000217940201467601,4.60383467716335,2.6184655396619,10,48,"ephrin receptor signaling pathway",0.000444077268919602
"GO:0002040",0.000221573102972597,2.95680662956807,6.4370611183355,17,118,"sprouting angiogenesis",0.000450483063659519
"GO:0050794",0.000229359111436868,1.29087425543969,459.595253576073,509,8425,"regulation of cellular process",0.000465285774522809
"GO:0022612",0.000232811381437048,3.20987745678428,5.29148244473342,15,97,"gland morphogenesis",0.000469188801539433
"GO:0048640",0.000232811381437048,3.20987745678428,5.29148244473342,15,97,"negative regulation of developmental growth",0.000469188801539433
"GO:0001936",0.000232811381437048,3.20987745678428,5.29148244473342,15,97,"regulation of endothelial cell proliferation",0.000469188801539433
"GO:0050771",0.000239874197335898,3.82174343190063,3.65494148244473,12,67,"negative regulation of axonogenesis",0.000482367108616511
"GO:0060688",0.00024258234377848,5.07539836766421,2.18205461638492,9,40,"regulation of morphogenesis of a branching structure",0.000486750193071853
"GO:0090288",0.000246973344152357,3.56009760895884,4.20045513654096,13,77,"negative regulation of cellular response to growth factor stimulus",0.000492809872632306
"GO:0009953",0.000246973344152357,3.56009760895884,4.20045513654096,13,77,"dorsal/ventral pattern formation",0.000492809872632306
"GO:0032964",0.000247207558258551,5.82310469314079,1.74564369310793,8,32,"collagen biosynthetic process",0.000492809872632306
"GO:0007416",0.000248021534366818,2.64544144243392,8.3463589076723,20,153,"synapse assembly",0.000493364650435939
"GO:0061458",0.000251173723832693,2.34477102828167,11.6194408322497,25,213,"reproductive system development",0.000498558188900668
"GO:0001708",0.000256932532306427,4.09687532120465,3.16397919375813,11,58,"cell fate specification",0.000508892176890794
"GO:0007501",0.000269519242466023,23.214371257485,0.38185955786736,4,7,"mesodermal cell fate specification",0.000530400047673519
"GO:0051964",0.000269519242466023,23.214371257485,0.38185955786736,4,7,"negative regulation of synapse assembly",0.000530400047673519
"GO:1905809",0.000269519242466023,23.214371257485,0.38185955786736,4,7,"negative regulation of synapse organization",0.000530400047673519
"GO:0048641",0.000272705800234515,8.72088835534214,0.981924577373212,6,18,"regulation of skeletal muscle tissue development",0.000530868312324966
