gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SC5A8.2	97.1152684684593	-1.21032096474199	0.199168602641183	82.2113080988047	5.92081769568141e-17	7.89356400979129e-16
GGT1	156.453785759827	-1.21230038717963	0.185342814217861	177.892398137526	2.11416741011834e-37	8.60567346060138e-36
LORF2.342	127.38459998396	-1.21516421850149	0.263455669670821	271.501579508548	1.51394793114251e-57	1.93091442384467e-55
HXK2	62.6457596311031	-1.21529603538578	0.218525249204643	146.514162733244	1.13655819479627e-30	3.32600825456155e-29
G6PE	15.4429848445445	-1.21902364319225	0.400314314338047	23.4723882334416	0.000101876807303491	0.000426685281191414
SARG	105.048482473732	-1.21998625020524	0.172917051501172	220.280144245057	1.63171803996013e-46	1.11488591971383e-44
HMX2	4.49679107281566	-1.22201724791628	1.06980747136549	29.3713315689587	6.57051398423691e-06	3.2841840799721e-05
PAR14.2	6.36077319626804	-1.22223509716897	0.718087539378324	33.1531114595773	1.11128919846225e-06	6.07221748749188e-06
I20RA	33.3645266073074	-1.22703154453494	0.343184663081926	134.75171937975	3.74920098938364e-28	9.5795527783834e-27
IFIT5.4	172.228540768312	-1.2271153322633	0.354131351929687	38.4356011422362	9.1106458701338e-08	5.60669220114185e-07
EHF	38.8636307990724	-1.23066966615352	0.338529295294864	119.907634829956	5.58970434479751e-25	1.19650944051924e-23
TMPSD	153.469084412416	-1.23136965156034	0.231214412330025	131.213546119614	2.14219439312927e-27	5.27959503813904e-26
PDE2A	74.4673936190612	-1.23262262470983	0.229907611616799	89.3347871842089	1.8230713558049e-18	2.6906564224295e-17
KV13	8.35691503390131	-1.23804758024203	0.695354283301646	42.3656564897048	1.40097859124696e-08	9.37149359223544e-08
S6A14.1	65.8125975544677	-1.23892877015878	0.399575911059685	87.4017342607665	4.69105471841659e-18	6.71623877131581e-17
ILDR1	82.1482192610437	-1.23903249467101	0.242790349768318	178.324654122121	1.70733394858323e-37	6.96819895548434e-36
HMR1.5	238.857867072219	-1.24536814740064	0.18576712556258	230.95771418958	8.21139015954936e-49	6.4448885329181e-47
CPEB3	25.5773606549777	-1.24914007800417	0.304834101020098	28.3705164393935	1.0491626276739e-05	5.10895132565989e-05
EVPL	669.665288387797	-1.2492293646593	0.13356556981743	259.990768391291	4.58118641180554e-55	5.04424877932977e-53
MSLNL.2	21.9075220996474	-1.25106603469573	0.402062995193922	79.6888828175054	2.02727153585789e-16	2.59643438128076e-15
LAMP3	425.969811503759	-1.25135439512826	0.13576292954134	235.641084621764	8.05527088813683e-50	6.84921783016301e-48
TAC2N	210.255569914808	-1.2514218141631	0.245317959815094	131.291857406784	2.06114729581871e-27	5.09626160945158e-26
KCRU	390.954078618801	-1.25168180313863	0.195046971065603	79.714096261163	2.0024925920502e-16	2.56899824990178e-15
HMX3	5.6523120306246	-1.25187480270878	0.95752328122032	35.0277310763814	4.58481636052606e-07	2.622220268978e-06
CYTB	88.6110098819174	-1.25204337044393	0.24444616110002	79.6469261523585	2.06918622764193e-16	2.64790093763041e-15
PERE.1	985.315511339339	-1.2537516122527	0.25215147785519	199.647017154109	4.47468911207558e-42	2.37795544653878e-40
FRRS1.1	70.33956973228	-1.25585366345291	0.431860374068085	55.2049454919876	2.94307940741357e-11	2.54197688095173e-10
PKHS1	12.3971014569959	-1.25842639018752	0.522310659902642	39.5457639878648	5.37332628031848e-08	3.38291891074761e-07
DHI1L	9.20934929806429	-1.26020071701806	0.63573865928652	22.3718636562282	0.000168993607266414	0.000684064310820543
MUC4	812.441153021771	-1.26451946698111	0.203472801984191	211.175635880267	1.48422890064908e-44	8.73697050939778e-43
ST1C1	82.9683924820375	-1.26999469093162	0.275277563116646	61.9040412728947	1.15400200095268e-12	1.09294558320426e-11
DGAT2	21.9066444318438	-1.27090469611058	0.460090264143977	41.2683346806494	2.36502191874097e-08	1.55084235074253e-07
CAR14	32.376258989388	-1.27615320555715	0.319081628640368	129.65698977222	4.61058811350733e-27	1.11830508838716e-25
S43A3.2	20.7075127906363	-1.2780016987144	0.398969995242736	125.134176174949	4.27258992796007e-26	9.7454528833724e-25
GPC6A.3	96.536573813897	-1.28176023238468	0.240786215191204	143.495231830499	5.03761627636015e-30	1.41469205705857e-28
AGRF5.1	7.42242996120463	-1.28273295850967	0.756305090327538	58.0626096033596	7.40352801395551e-12	6.64970635291016e-11
CAN5.1	6.86320069383644	-1.28314595123005	0.753974921564367	27.423507742958	1.63201973806842e-05	7.73554106260054e-05
