Gene,Cluster,Assigned Tissue
IKBB,6,ET
FGRL1,6,ET
MSH4,6,ET
FREM1.4,6,ET
KLC2,6,ET
LIN1.40,6,ET
CYB5,6,ET
NUA4L,6,ET
SHIP2,6,ET
SCUB1,6,ET
EPHB1,6,ET
LORF2.167,6,ET
NDST1,6,ET
T132C,6,ET
NUD15,6,ET
BAT1,6,ET
VGP.1,6,ET
NXPE3,6,ET
PSD13.1,6,ET
TGFB3,6,ET
SPY2,6,ET
RHOU,6,ET
5NT1A,6,ET
WFDC3,6,ET
SH3R3,6,ET
RSRC1,6,ET
EFHC1,6,ET
ALK,6,ET
LAMA1,6,ET
RT25,6,ET
PIPNA,6,ET
TECTA.1,6,ET
RTBS.16,6,ET
T132A,6,ET
FRM4A.1,6,ET
AXIN2,6,ET
RSPO2,6,ET
ATN1,6,ET
SUCB1,6,ET
AGRL2,6,ET
ZN423,6,ET
MSI1H,6,ET
SSXT,6,ET
GLYC,6,ET
LAT4,6,ET
ROBO1.1,6,ET
ATS18,6,ET
NHRF2,6,ET
GLI2,6,ET
HS12A,6,ET
CD248,6,ET
SWET1,6,ET
RBM38.1,6,ET
PA1B2.1,6,ET
HTF4.2,6,ET
NISCH,6,ET
PDLI4,6,ET
AMPE,6,ET
CLK1,6,ET
MF14A,6,ET
POL.2,6,ET
AATC.1,6,ET
AGFG1.1,6,ET
RAMP1,6,ET
WN10B,6,ET
EDNRA,6,ET
SOX12,6,ET
SPINZ,6,ET
GORS2.1,6,ET
CABL1,6,ET
YG31B.6,6,ET
KAP1,6,ET
ATS8,6,ET
KREM2,6,ET
FZD9,6,ET
DUS6,6,ET
MARC1,6,ET
WIF1,6,ET
MTCL1,6,ET
C1QR1,6,ET
EGFLA,6,ET
GFRA2,7,SL
THIO,7,SL
INK1A,7,SL
NUDC,7,SL
TCPB,7,SL
GSTA.1,7,SL
NXNL2,7,SL
TAGL,7,SL
TRBM,7,SL
FOG2.3,7,SL
KCP,7,SL
NOTUM,7,SL
EXT1,7,SL
CLIC6,7,SL
EFC10,7,SL
OFUT2,7,SL
PCLI1,7,SL
LBX1,7,SL
CBARP,7,SL
AQP1,7,SL
PDGFB,7,SL
APJA,7,SL
COF2.2,7,SL
CO4A2,7,SL
CO4A1.1,7,SL
FUT8,7,SL
CADH5,7,SL
TCIM,7,SL
IBP3,7,SL
FOXC2,7,SL
ARF2,7,SL
SMOC1.1,7,SL
NID1,7,SL
LAT2,7,SL
IF2B2,7,SL
EMID1,7,SL
TBKB1,7,SL
FYN.1,7,SL
TCPA,7,SL
NDK,7,SL
STX2,7,SL
SVIL.1,7,SL
SNF5.1,7,SL
ACTB.2,7,SL
PA2G4,7,SL
OLFL3,7,SL
TEX9,7,SL
AS3MT,7,SL
DEGS1,7,SL
ANGL4,7,SL
CAHM5,7,SL
SPTB2,7,SL
SH3L3,7,SL
DDIT4,7,SL
ID4,7,SL
LRP11,7,SL
CBLN1,7,SL
HNRPR,7,SL
SEM3A,7,SL
NPNT.1,7,SL
AT2L2,7,SL
T7L1A,7,SL
TBB4B.4,7,SL
HS3S1,7,SL
Z585A,7,SL
RM20,7,SL
A2MG,7,SL
M4A15.1,7,SL
SIA4B,7,SL
FLNC,7,SL
RUVB1,7,SL
DPOE4,7,SL
PPIA,7,SL
AGRL4,7,SL
LHPL6,7,SL
NS1BP,7,SL
GAS6,7,SL
MGP,7,SL
SRSF4.1,7,SL
SORCN,7,SL
GDAP1,7,SL
MBIP1,7,SL
RET4,7,SL
KALM.1,7,SL
FGF9,7,SL
PMP22,7,SL
FRAS1,7,SL
KCTD1,7,SL
RL3.1,7,SL
CHKA,7,SL
SFRP5,7,SL
DPEP1,7,SL
ARHG3,7,SL
LAMB1.1,7,SL
MSTO1,7,SL
HNRPL.1,7,SL
PROF2,7,SL
CD81,7,SL
EPHA3,7,SL
ACE,7,SL
A4,7,SL
ACTG,7,SL
AEBP1,7,SL
MXRA7,7,SL
MAF,7,SL
VWA1,7,SL
RSMB,7,SL
NP1L1.4,7,SL
RGCC,7,SL
SVEP1.2,7,SL
CAC1H.1,7,SL
RGL1,7,SL
DJC27,7,SL
CA3A1,7,SL
RT15,7,SL
RL15.1,8,SL
EIF3F,8,SL
SATB1,8,SL
NUCL,8,SL
IGK,8,SL
SRS12,8,SL
RND3,8,SL
FXC1A,8,SL
EDNRB,8,SL
CTBP1,8,SL
TGT,8,SL
ISM1,8,SL
LMNB1,8,SL
TIM22,8,SL
MCM4,8,SL
HNRPK,8,SL
NCAM1,8,SL
TINAL,8,SL
CHAD,8,SL
KCMB3,8,SL
RAIN,8,SL
TWSG1,8,SL
ACTN1,8,SL
EIF3K,8,SL
B4GT3.1,8,SL
MYO1B.1,8,SL
MMRN1,8,SL
ADCY5.1,8,SL
COMTB,8,SL
COF2.1,8,SL
RBPS2,8,SL
AKAP8,8,SL
COEA1.1,8,SL
TBC15,8,SL
HIC1,8,SL
PI3R4,8,SL
ZN135.3,8,SL
PIM3,8,SL
RBM3,8,SL
WNT11,8,SL
REEP6,8,SL
COEA1,8,SL
PBMU2.16,8,SL
SPY1,8,SL
MET24,8,SL
PLAT3,8,SL
VWCE,8,SL
FIL1L.1,8,SL
OSR2B,8,SL
FBXW7.1,8,SL
IBP4,8,SL
MCM2,8,SL
NDRG2,8,SL
P4HA3,9,BHTB
PLPP2,9,BHTB
SEM3F.1,9,BHTB
FREM1,9,BHTB
SPON2,9,BHTB
FHL1,9,BHTB
CNDP2.1,9,BHTB
TYBB,9,BHTB
C1QB,9,BHTB
ACTA,9,BHTB
ITB4,9,BHTB
MFAP2,9,BHTB
TPPP3,9,BHTB
F13A,9,BHTB
P5I11,9,BHTB
SYNP2,9,BHTB
OLFL1,9,BHTB
LOXL1,9,BHTB
LITAF,9,BHTB
CSDE1,9,BHTB
CO1A2,9,BHTB
ROST,9,BHTB
LMOD1,9,BHTB
GDE1,9,BHTB
P3F1B,9,BHTB
OSR1,9,BHTB
ADA1B,9,BHTB
ICAM5,9,BHTB
